Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
SUBARU,FORESTER AWD,SUV - SMALL,2.0,4,AV8,Z,10.2,8.6,9.5,30,223
CHEVROLET,SILVERADO eASSIST,PICKUP TRUCK - STANDARD,5.3,8,A8,X,13.4,10.0,11.8,24,278
CADILLAC,CT4-V,COMPACT,2.7,4,AS10,Z,11.5,8.2,10.0,28,234
GMC,ACADIA AWD,SUV - STANDARD,2.5,4,A6,X,11.2,9.4,10.4,27,243
RAM,1500 Classic,PICKUP TRUCK - STANDARD,5.7,8,A8,X,15.7,11.0,13.6,21,319
MAZDA,Mazda3 5-Door,MID-SIZE,2.5,4,M6,X,9.2,6.6,8.1,35,189
MERCEDES-BENZ,AMG C 63 COUPE,SUBCOMPACT,4.0,8,A7,Z,13.8,10.1,12.1,23,285
BMW,335i SEDAN,COMPACT,3.0,6,AS8,Z,11.4,7.4,9.6,29,221
ASTON MARTIN,Vantage V8,TWO-SEATER,4.0,8,M7,Z,16.7,11.2,14.2,20,333
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,X,13.9,9.8,12.1,23,278
BMW,X4 M,SUV - SMALL,3.0,6,AS8,Z,16.6,12.1,14.6,19,339
VOLVO,XC90 T5 AWD,SUV - STANDARD,2.0,4,AS8,Z,11.3,8.5,10.0,28,233
CADILLAC,CT5,MID-SIZE,2.0,4,AS10,Z,10.4,7.3,9.0,31,209
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,M7,Z,12.6,9.0,11.0,26,253
BMW,435i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.9,8.1,10.2,28,238
FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,10.8,8.0,9.5,30,223
ROLLS-ROYCE,Phantom,FULL-SIZE,6.7,12,AS8,Z,20.0,11.8,16.3,17,382
NISSAN,ALTIMA,MID-SIZE,2.5,4,AV,X,8.7,6.2,7.6,37,175
JEEP,COMPASS,SUV - SMALL,2.4,4,M5,X,10.3,8.3,9.4,30,216
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209
JAGUAR,F-TYPE COUPE,TWO-SEATER,3.0,6,AS8,Z,11.8,8.4,10.3,27,237
PORSCHE,BOXSTER,TWO-SEATER,2.7,6,AM7,Z,10.7,7.4,9.2,31,212
TOYOTA,VENZA 4WD,SUV - SMALL,2.7,4,AS6,X,11.6,9.2,10.5,27,241
CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.8,8.8,9.3,30,218
PORSCHE,CAYMAN S,TWO-SEATER,3.4,6,M6,Z,11.9,8.6,10.4,27,239
KIA,SOUL,STATION WAGON - SMALL,2.0,4,A6,X,10.1,7.8,9.1,31,209
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4.0,6,A5,X,14.7,10.4,12.8,22,300
FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.7,11.8,13.8,20,324
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,A5,X,19.7,14.3,17.2,16,396
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258
LAND ROVER,RANGE ROVER VELAR,SUV - SMALL,2.0,4,AS8,D,9.2,7.8,8.5,33,229
BMW,X7 xDrive40i,SUV - STANDARD,3.0,6,AS8,Z,12.0,9.4,10.8,26,254
FORD,EDGE (Start/Stop),SUV - SMALL,2.0,4,AS6,X,11.3,8.0,9.9,29,231
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,AM7,Z,12.3,8.9,10.8,26,248
DODGE,VIPER SRT COUPE,TWO-SEATER,8.4,10,M6,Z,19.4,11.3,15.8,18,363
MERCEDES-BENZ,S 450 4MATIC SWB,MID-SIZE,3.0,6,A9,Z,12.8,8.5,10.8,26,253
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.4,6.3,7.4,38,174
FORD,ECOSPORT,SUV - SMALL,1.0,3,AS6,X,8.6,8.1,8.4,34,195
KIA,SEDONA,MINIVAN,3.3,6,AS6,X,13.2,9.7,11.6,24,275
MERCEDES-BENZ,GLA 45 AMG 4MATIC,STATION WAGON - MID-SIZE,2.0,4,AS7,Z,10.5,8.1,9.4,30,216
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.6,11.3,25,265
BMW,320i xDRIVE,COMPACT,2.0,4,AS8,Z,10.3,6.9,8.8,32,206
FORD,EcoSport AWD,SUV - SMALL,2.0,4,AS6,X,10.2,8.1,9.2,31,216
HONDA,HR-V,STATION WAGON - SMALL,1.8,4,M6,X,9.4,7.1,8.4,34,195
ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12,M7,Z,23.2,14.4,19.2,15,450
KIA,Soul,STATION WAGON - SMALL,1.6,4,AM7,X,9.1,7.7,8.5,33,199
BMW,M4 Cabriolet,SUBCOMPACT,3.0,6,M6,Z,13.8,9.4,11.9,24,280
MERCEDES-BENZ,AMG E 53 4MATIC+ Coupe,SUBCOMPACT,3.0,6,A9,Z,12.3,8.5,10.6,27,237
TOYOTA,4RUNNER 4WD (Part-Time 4WD),SUV - STANDARD,4.0,6,AS5,X,14.2,11.1,12.8,22,294
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,12.2,8.7,10.6,27,244
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8,AS7,Z,17.4,12.1,15.0,19,345
FORD,EDGE AWD,SUV - SMALL,2.0,4,AS6,X,11.8,8.4,10.3,27,237
MAZDA,MX-5 (SIL),TWO-SEATER,2.0,4,M6,Z,8.9,7.1,8.1,35,189
FORD,FOCUS,COMPACT,1.0,3,M6,X,7.8,5.7,6.8,42,160
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4,AS6,Z,9.2,7.0,8.2,34,189
FORD,Taurus FFV,FULL-SIZE,3.5,6,AS6,E,17.8,12.1,15.2,19,254
INFINITI,Q50,MID-SIZE,3.0,6,AS7,Z,12.1,8.1,10.3,27,242
MERCEDES-BENZ,SLS AMG GT ROADSTER,TWO-SEATER,6.2,8,AM7,Z,18.1,12.6,15.6,18,359
MAZDA,CX-30,SUV - SMALL,2.0,4,AS6,X,8.9,7.1,8.1,35,189
TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,X,11.3,7.5,9.6,29,221
TOYOTA,Camry,MID-SIZE,3.5,6,AS8,X,10.5,7.1,9.0,31,210
BMW,X6 M50i,SUV - STANDARD,4.4,8,AS8,Z,14.5,10.7,12.8,22,302
NISSAN,370Z,TWO-SEATER,3.7,6,AS7,Z,12.6,9.1,11.0,26,253
CADILLAC,CT6,FULL-SIZE,2.0,4,AS8,Z,11.0,7.8,9.5,30,223
GMC,Yukon 4WD,SUV - STANDARD,5.3,8,A6,X,15.8,11.1,13.7,21,321
VOLKSWAGEN,JETTA HYBRID,COMPACT,1.4,4,AM7,Z,5.6,4.9,5.3,53,122
PORSCHE,911 Turbo S Exclusive Cabriolet,MINICOMPACT,3.8,6,AM7,Z,14.3,10.9,12.7,22,297
NISSAN,Pathfinder 4WD,SUV - SMALL,3.5,6,AV,X,12.1,8.9,10.7,26,250
FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,13.7,10.2,12.1,23,278
PORSCHE,911 TURBO,MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274
LEXUS,IS 300,COMPACT,2.0,4,AS8,Z,11.0,7.6,9.5,30,220
CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A8,Z,16.4,11.7,14.3,20,329
MINI,COOPER S CONVERTIBLE,MINICOMPACT,2.0,4,AS6,Z,9.3,7.1,8.3,34,195
TOYOTA,HIGHLANDER AWD (Start/Stop System),SUV - STANDARD,3.5,6,AS8,X,12.0,8.9,10.6,27,247
SUBARU,BRZ,MINICOMPACT,2.0,4,AS6,Z,9.7,7.2,8.6,33,200
MERCEDES-BENZ,C 63 AMG COUPE,SUBCOMPACT,6.2,8,AS7,Z,17.9,12.3,15.4,18,354
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,A6,X,9.5,7.2,8.5,33,196
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.1,16,416
VOLVO,V60 T6 AWD,STATION WAGON - SMALL,2.0,4,AS8,Z,11.1,7.3,9.4,30,219
GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377
JEEP,COMPASS 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,259
BMW,M240i Cabriolet,SUBCOMPACT,3.0,6,AS8,Z,11.2,7.8,9.7,29,227
JAGUAR,XJ AWD,FULL-SIZE,3.0,6,AS8,Z,14.6,9.6,12.4,23,285
GENESIS,G90 AWD,FULL-SIZE,3.3,6,AS8,Z,13.6,9.5,11.8,24,280
TOYOTA,Corolla XLE,COMPACT,1.8,4,AV,X,8.1,6.3,7.3,39,170
DODGE,DART,MID-SIZE,2.4,4,A6,X,10.1,6.8,8.6,33,202
BMW,750i xDRIVE SEDAN,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,X,13.6,9.9,12.4,23,291
CHEVROLET,Suburban 4WD FFV,SUV - STANDARD,5.3,8,A6,X,16.8,11.3,14.3,20,336
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20,325
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6,A5,X,16.1,11.9,14.2,20,327
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,5.5,8,AS7,Z,17.3,13.5,15.6,18,366
INFINITI,QX60,SUV - SMALL,3.5,6,AV,Z,11.9,9.0,10.6,27,244
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,AM7,Z,14.8,10.6,12.9,22,297
MAZDA,Mazda3 5-Door (SIL),MID-SIZE,2.0,4,M6,X,8.7,6.6,7.8,36,181
FORD,Transit Connect Van FFV,SPECIAL PURPOSE VEHICLE,2.0,4,AS8,X,9.8,8.8,9.3,30,219
BMW,340i,COMPACT,3.0,6,AS8,Z,11.1,7.8,9.6,29,224
PORSCHE,CAYENNE,SUV - STANDARD,3.6,6,A8,Z,12.9,9.7,11.5,25,268
MAZDA,MX-5,TWO-SEATER,2.0,4,AS6,Z,8.9,6.5,7.8,36,183
NISSAN,ALTIMA,MID-SIZE,3.5,6,AV7,X,10.6,7.3,9.1,31,214
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,AS6,X,9.6,7.0,8.4,34,196
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.7,9.8,11.4,25,268
ROLLS-ROYCE,Wraith,MID-SIZE,6.6,12,AS8,Z,19.6,12.8,16.5,17,387
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,13.5,9.8,11.9,24,278
JEEP,GRAND CHEROKEE 4X4 DIESEL,SUV - STANDARD,3.0,6,A8,D,11.2,8.4,9.9,29,267
DODGE,Durango AWD SRT,SUV - STANDARD,6.4,8,A8,Z,18.3,12.2,15.6,18,363
ROLLS-ROYCE,Phantom EWB,FULL-SIZE,6.7,12,AS8,Z,20.0,11.8,16.3,17,382
LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6,AS10,X,14.9,11.3,13.3,21,310
CHRYSLER,PACIFICA (Stop-Start),MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,307
NISSAN,Murano AWD,STATION WAGON - MID-SIZE,3.5,6,AV7,X,11.7,8.5,10.3,27,242
FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.5,9.4,12.7,22,298
HONDA,Insight Touring,MID-SIZE,1.5,4,AV,X,4.6,5.3,4.9,58,114
NISSAN,Titan,PICKUP TRUCK - STANDARD,5.6,8,AS7,X,15.0,11.2,13.3,21,312
ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.2,7.5,9.6,29,221
TOYOTA,CAMRY HYBRID LE,MID-SIZE,2.5,4,AV,X,5.6,6.2,5.9,48,137
SUBARU,LEGACY AWD,MID-SIZE,3.6,6,AV6,X,11.9,8.2,10.2,28,235
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.7,12.6,22,296
PORSCHE,CAYMAN,TWO-SEATER,2.7,6,AM7,Z,10.7,7.4,9.2,31,212
HYUNDAI,Elantra,MID-SIZE,1.6,4,AM7,X,8.9,7.0,8.1,35,189
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419
TOYOTA,VENZA,SUV - SMALL,2.7,4,AS6,X,11.4,8.2,10.0,28,230
MITSUBISHI,LANCER EVOLUTION,COMPACT,2.0,4,AM6,Z,14.2,10.5,12.5,23,288
MINI,JOHN COOPER WORKS,SUBCOMPACT,2.0,4,AS6,Z,9.3,7.3,8.4,34,197
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222
VOLKSWAGEN,TIGUAN 4MOTION,SUV - SMALL,2.0,4,AS6,Z,11.7,9.4,10.7,26,246
MASERATI,QUATTROPORTE SQ4,FULL-SIZE,3.0,6,AS8,Z,15.9,9.7,13.1,22,301
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,20.5,11.7,16.6,17,382
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,259
LEXUS,NX 300h AWD,SUV - SMALL,2.5,4,AV6,X,7.1,7.7,7.4,38,170
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.9,9.8,12.1,23,283
FORD,T-150 WAGON,VAN - PASSENGER,3.5,6,AS6,X,16.1,12.7,14.6,19,342
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,M6,X,14.4,8.4,11.7,24,274
VOLKSWAGEN,GOLF WAGON TDI (modified),STATION WAGON - SMALL,2.0,4,A6,D,8.1,6.4,7.4,38,198
AUDI,S7 QUATTRO,MID-SIZE,4.0,8,AM7,Z,13.4,8.8,11.4,25,265
JAGUAR,F-TYPE COUPE,TWO-SEATER,2.0,4,AS8,Z,10.2,7.8,9.2,31,215
SUBARU,Impreza 4-Door AWD,MID-SIZE,2.0,4,AV7,X,8.3,6.4,7.5,38,174
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
FORD,TRANSIT CONNECT WAGON FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,E,16.8,12.0,14.6,19,240
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,AS8,Z,12.0,7.9,10.2,28,238
PORSCHE,911 GT3,TWO-SEATER,4.0,6,M6,Z,18.0,11.5,15.1,19,352
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,183
VOLKSWAGEN,GOLF SPORTWAGON,STATION WAGON - SMALL,1.8,4,AS6,X,9.4,6.8,8.2,34,193
PORSCHE,BOXSTER SPYDER,TWO-SEATER,3.8,6,M6,Z,13.1,9.9,11.6,24,272
MAZDA,Mazda3 4-Door,COMPACT,2.5,4,AS6,X,8.8,6.4,7.7,37,181
LEXUS,CT 200h,COMPACT,1.8,4,AV,X,5.5,5.9,5.7,50,132
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,14.2,9.4,12.1,23,278
BUICK,LaCrosse AWD,MID-SIZE,3.6,6,AS9,X,11.7,8.2,10.1,28,238
DODGE,CHARGER (MDS),FULL-SIZE,6.4,8,A8,Z,15.7,9.5,12.9,22,302
FORD,F-150 4X4 XL/XLT,PICKUP TRUCK - STANDARD,3.0,6,AS10,D,11.2,8.4,9.9,29,266
TOYOTA,Camry,MID-SIZE,2.5,4,AS8,X,8.1,5.7,6.9,41,164
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432
MINI,Cooper S Clubman ALL4,MID-SIZE,2.0,4,M6,Z,11.4,7.7,9.7,29,227
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.2,9.8,12.3,23,283
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.9,8.7,10.4,27,244
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16.0,18,368
MERCEDES-BENZ,AMG GT R Coupe,TWO-SEATER,4.0,8,AM7,Z,15.9,11.8,14.0,20,327
LAMBORGHINI,Huracan Spyder AWD,TWO-SEATER,5.2,10,AM7,Z,18.0,12.9,15.7,18,370
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,9.0,6.8,8.0,35,187
AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214
SCION,FR-S,MINICOMPACT,2.0,4,M6,Z,10.9,7.9,9.6,29,221
JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5.0,8,AS8,E,20.6,13.6,17.5,16,280
MAZDA,CX-5 4WD,SUV - SMALL,2.5,4,AS6,X,9.8,7.9,8.9,32,205
RAM,1500 4X4,PICKUP TRUCK - STANDARD,5.7,8,A8,X,16.1,11.5,14.0,20,328
HYUNDAI,SANTA FE ULTIMATE AWD,SUV - SMALL,3.3,6,AS6,X,13.9,10.8,12.5,23,295
CHRYSLER,200 FFV,MID-SIZE,3.6,6,A9,X,12.4,7.5,10.2,28,235
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,E,17.2,11.6,14.7,19,246
CHEVROLET,SONIC 5 RS,STATION WAGON - SMALL,1.4,4,M6,X,8.9,7.0,8.0,35,189
GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.7,13.9,17.1,17,284
BMW,M3,COMPACT,3.0,6,M6,Z,13.7,9.0,11.6,24,271
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13.0,22,299
NISSAN,SENTRA (Turbo),MID-SIZE,1.6,4,AV7,Z,8.9,7.3,8.2,34,193
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4,AS7,Z,10.3,7.6,9.1,31,212
FORD,FOCUS,COMPACT,2.0,4,M6,X,10.2,7.3,8.9,32,205
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS6,E,22.2,16.5,19.6,14,326
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,17.0,11.2,14.4,20,230
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,AS6,X,12.1,10.1,11.2,25,263
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,298
FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.9,11.2,12.7,22,298
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,E,19.7,14.1,17.2,16,282
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
CADILLAC,CT5,MID-SIZE,3.0,6,AS10,Z,12.6,9.1,11.0,26,256
JAGUAR,XJ R-SPORT AWD,FULL-SIZE,3.0,6,AS8,Z,14.0,9.0,11.8,24,276
JEEP,PATRIOT 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,255
VOLVO,S60 INSCRIPTION T5 AWD,COMPACT,2.0,4,AS8,X,10.7,7.8,9.4,30,219
JEEP,Cherokee 4X4 Active Drive I,SUV - SMALL,2.0,4,A9,X,11.2,8.0,9.8,29,229
TOYOTA,Corolla XSE,COMPACT,2.0,4,AV10,X,7.7,6.1,7.0,40,164
HYUNDAI,Palisade,SUV - STANDARD,3.8,6,AS8,X,11.9,8.8,10.5,27,250
AUDI,RS 5 Coupe,SUBCOMPACT,2.9,6,AS8,Z,13.3,8.7,11.3,25,262
CADILLAC,ATS AWD,COMPACT,3.6,6,AS8,X,12.2,8.6,10.6,27,248
FORD,F-150 (LT Tire Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.0,9.4,10.8,26,253
MERCEDES-BENZ,CLA 250 4MATIC FFV,COMPACT,2.0,4,AS7,E,13.1,9.8,11.6,24,198
BMW,230i xDrive Coupe,SUBCOMPACT,2.0,4,AS8,Z,10.9,7.5,9.4,30,219
DODGE,VIPER SRT,TWO-SEATER,8.4,10,M6,Z,19.2,11.3,15.6,18,364
ASTON MARTIN,Rapide AMR,SUBCOMPACT,6.0,12,A8,Z,16.7,10.9,14.1,20,332
HONDA,Civic Sedan,MID-SIZE,2.0,4,AV,X,7.9,6.1,7.1,40,167
MERCEDES-BENZ,AMG SL 65,TWO-SEATER,6.0,12,AS7,Z,17.6,10.8,14.5,19,340
LINCOLN,CONTINENTAL AWD,FULL-SIZE,2.7,6,AS6,X,14.0,9.5,12.0,24,281
MASERATI,Quattroporte GTS,FULL-SIZE,3.8,8,AS8,Z,16.0,10.8,13.7,21,321
LINCOLN,MKT LIVERY AWD,SPECIAL PURPOSE VEHICLE,3.7,6,A6,X,14.0,9.9,12.2,23,281
FORD,EXPEDITION MAX 4X4,SUV - STANDARD,3.5,6,AS10,X,14.9,11.2,13.2,21,311
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,M5,X,12.4,11.4,11.9,24,279
DODGE,Charger FFV,FULL-SIZE,3.6,6,A5,E,18.9,12.7,16.1,18,268
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4,AS7,E,13.6,10.0,12.0,24,128
KIA,FORTE 5,FULL-SIZE,1.6,4,M6,X,11.1,8.2,9.8,29,227
FORD,FUSION,MID-SIZE,1.5,4,AS6,X,10.0,7.0,8.7,32,204
VOLKSWAGEN,Golf R,COMPACT,2.0,4,M6,Z,11.4,8.2,9.9,29,232
MERCEDES-BENZ,AMG C 63,COMPACT,4.0,8,AS7,Z,13.4,9.6,11.7,24,273
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,10.6,7.3,9.1,31,214
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,8.5,6.6,7.6,37,178
BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.6,7.7,9.9,29,232
HYUNDAI,TUCSON 4WD,SUV - SMALL,2.4,4,A6,X,11.6,9.3,10.6,27,244
HYUNDAI,VELOSTER,COMPACT,1.6,4,AM6,X,8.6,6.6,7.7,37,177
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.5,10.1,12.0,24,281
HYUNDAI,Sonata,FULL-SIZE,2.0,4,AS8,X,10.4,7.4,9.1,31,212
HYUNDAI,Santa Fe XL,SUV - SMALL,3.3,6,AS6,X,13.2,9.4,11.5,25,268
VOLKSWAGEN,Golf SportWagen,STATION WAGON - SMALL,1.4,4,AS8,X,8.6,6.5,7.6,37,178
MERCEDES-BENZ,SLK 55 AMG,TWO-SEATER,5.5,8,AS7,Z,12.3,8.7,10.7,26,246
BUICK,Regal AWD,MID-SIZE,3.6,6,AS9,X,12.5,8.8,10.9,26,255
KIA,FORTE 5,FULL-SIZE,2.0,4,M6,X,9.8,7.3,8.7,32,204
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,SUV - STANDARD,5.0,8,AS8,Z,16.6,12.3,14.7,19,338
GMC,Terrain,SUV - SMALL,1.5,4,A9,X,9.2,7.9,8.6,33,201
VOLVO,XC60 T5,SUV - SMALL,2.0,4,AS8,X,9.8,7.6,8.8,32,202
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,A6,X,14.5,10.6,12.7,22,292
JEEP,RENEGADE,SUV - SMALL,1.4,4,M6,X,9.9,7.7,8.9,32,209
PORSCHE,911 TURBO,MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,266
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,14.0,10.3,12.3,23,283
JEEP,Cherokee 4X4 Active Drive Lock,SUV - SMALL,2.0,4,A9,X,11.8,9.2,10.6,27,249
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,362
FORD,F-150 4X4 Limited,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.8,11.2,12.6,22,296
HYUNDAI,TUCSON,SUV - SMALL,2.4,4,AS6,X,11.3,8.3,10.0,28,230
MINI,Cooper Countryman ALL4,MID-SIZE,1.5,3,AS8,Z,9.8,7.1,8.6,33,200
FORD,EDGE,SUV - SMALL,2.0,4,AS6,X,11.5,8.0,9.9,29,233
SUBARU,LEGACY AWD,MID-SIZE,3.6,6,AS5,X,13.3,9.5,11.6,24,267
BUICK,Envision AWD,SUV - SMALL,2.0,4,A9,Z,11.7,9.4,10.7,26,250
HONDA,CR-V,SUV - SMALL,1.5,4,AV,X,8.3,7.0,7.7,37,180
NISSAN,NV200 Cargo Van,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.8,8.8,9.3,30,218
FORD,ESCAPE AWD,SUV - SMALL,1.6,4,AS6,X,10.5,7.9,9.3,30,214
HYUNDAI,VELOSTER,COMPACT,1.6,4,AM6,X,8.3,6.7,7.6,37,180
JAGUAR,F-TYPE CONVERTIBLE R-DYNAMIC,TWO-SEATER,3.0,6,AS8,Z,12.4,8.8,10.8,26,253
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Z,13.0,8.9,11.1,25,255
PORSCHE,Cayman S,TWO-SEATER,2.5,4,M6,Z,12.1,9.0,10.7,26,249
FORD,FOCUS FFV,COMPACT,2.0,4,M5,E,12.9,9.5,11.4,25,188
TOYOTA,C-HR,COMPACT,2.0,4,AS7,X,8.7,7.5,8.2,34,189
FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,X,13.7,9.6,11.8,24,278
BMW,M240i xDRIVE COUPE,SUBCOMPACT,3.0,6,AS8,Z,11.4,7.8,9.8,29,228
PORSCHE,PANAMERA TURBO,FULL-SIZE,4.8,8,AM7,Z,15.3,9.7,12.8,22,294
MERCEDES-BENZ,S 550 4MATIC SWB,FULL-SIZE,4.7,8,AS7,Z,14.2,9.4,12.0,24,276
FORD,Escape AWD,SUV - SMALL,2.0,4,AS8,X,10.4,7.5,9.1,31,213
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,317
JAGUAR,F-TYPE P300 Convertible,TWO-SEATER,2.0,4,AS8,Z,10.2,7.8,9.2,31,215
CHRYSLER,Voyager (Stop-Start),MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
HONDA,HR-V AWD,STATION WAGON - SMALL,1.8,4,AV7,X,8.9,7.5,8.2,34,194
CADILLAC,CT6,FULL-SIZE,2.0,4,AS8,Z,11.0,7.8,9.5,30,224
